epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11677,1.08319,3.14822,1.09851,0.00733,1,0.16979,0.1524,0.34592,3.02692,0.7445,0,0,0
2,2.47325,1.48445,3.28716,1.10734,0.00726,1,0.22387,0.20209,0.35195,3.01555,0.74317,1.50197e-05,1.50197e-05,1.50197e-05
3,3.77527,0.58144,3.25083,0.91826,0.00711,1,0.41458,0.38962,0.34159,3.00732,0.74042,2.67387e-05,2.67387e-05,2.67387e-05
4,5.09378,1.20992,3.06218,0.96152,0.00712,1,0.66292,0.59019,0.33167,3.00019,0.73776,3.5157e-05,3.5157e-05,3.5157e-05
5,6.42492,1.40842,3.14904,1.03883,0.00711,1,0.74625,0.70462,0.31407,2.96033,0.74102,4.02747e-05,4.02747e-05,4.02747e-05
6,7.73744,1.01295,3.26721,1.1205,0.00709,1,0.74625,0.70462,0.31177,2.95768,0.74034,4.20917e-05,4.20917e-05,4.20917e-05
7,9.0586,0.7709,2.94499,0.95092,0.00704,1,0.74625,0.67988,0.33453,2.96004,0.7405,4.06081e-05,4.06081e-05,4.06081e-05
8,10.3622,0.6609,2.77225,0.77334,0.00701,1,0.74625,0.67988,0.38374,2.95844,0.74443,3.58238e-05,3.58238e-05,3.58238e-05
9,11.5744,0.65152,2.81345,0.77126,0.00697,1,0.74625,0.67988,0.4252,2.95906,0.7485,2.77389e-05,2.77389e-05,2.77389e-05
10,12.8271,0.7605,2.57327,0.85348,0.00692,1,0.74625,0.67988,0.44831,2.96174,0.74975,1.63533e-05,1.63533e-05,1.63533e-05
